Column,Description
acc_now_delinq,The number of accounts on which the borrower is now delinquent.
annual_inc,The self-reported annual income provided by the borrower during registration.
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
dti,"A ratio calculated using the borrower's total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower's self-reported monthly income."
earliest_cr_line,The month the borrower's earliest reported credit line was opened
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
emp_title,The job title supplied by the Borrower when applying for the loan.*
fico_range_high,The upper boundary range the borrower's FICO at loan origination belongs to.
fico_range_low,The lower boundary range the borrower's FICO at loan origination belongs to.
grade,LC assigned loan grade
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
initial_list_status,"The initial listing status of the loan. Possible values are - W, F"
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
installment,The monthly payment owed by the borrower if the loan originates.
int_rate,Interest Rate on the loan
issue_d,The month which the loan was funded
last_credit_pull_d,The most recent month LC pulled credit for this loan
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
mort_acc,Number of mortgage accounts.
mths_since_last_delinq,The number of months since the borrower's last delinquency.
open_acc,The number of open credit lines in the borrower's credit file.
pub_rec,Number of derogatory public records
pub_rec_bankruptcies,Number of public record bankruptcies
purpose,A category provided by the borrower for the loan request.
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
sub_grade,LC assigned loan subgrade
term,The number of payments on the loan. Values are in months and can be either 36 or 60.
title,The loan title provided by the borrower
total_acc,The total number of credit lines currently in the borrower's credit file
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified"
hardship_flag,Flags whether or not the borrower is on a hardship plan
debt_settlement_flag,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company."
